Year,Month,Region,Home Size,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars
2022,December,Midwest,Double,144300.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,December,Midwest,Single ,82300.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,December,Midwest,Total1,104700.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,December,Northeast,Double,158300,22630.0,80360.0,80360.0,115300.0,115300.0
2022,December,Northeast,Single ,75300.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,December,Northeast,Total1,113900.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,December,South,Double,155400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,December,South,Single ,80700.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,December,South,Total1,124000.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,December,United States,Double,155700.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,December,United States,Single ,80200.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,December,United States,Total1,122100.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,December,West,Double,162400.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,December,West,Single ,77600.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,December,West,Total1,134700.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,November,Midwest,Double,147600.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,November,Midwest,Single ,89100.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,November,Midwest,Total1,113600.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,November,Northeast,Double,146700,22630.0,80360.0,80360.0,115300.0,115300.0
2022,November,Northeast,Single ,93900.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,November,Northeast,Total1,119200.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,November,South,Double,155800.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,November,South,Single ,86500.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,November,South,Total1,126000.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,November,United States,Double,155200.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,November,United States,Single ,88000.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,November,United States,Total1,125200.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,November,West,Double,161800.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,November,West,Single ,89500.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,November,West,Total1,138400.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,October,Midwest,Double,156700.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,October,Midwest,Single ,87500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,October,Midwest,Total1,113500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,October,Northeast,Double,155300,22630.0,80360.0,80360.0,115300.0,115300.0
